 1,  1,  2, 13
  2, 13, 12,  1
  3,  2,  3, 14
  4, 14, 13,  2
  5,  3,  4, 15
  6, 15, 14,  3
  7,  4,  5, 16
  8, 16, 15,  4
  9,  5,  6, 17
 10, 17, 16,  5
 11,  6,  7, 18
 12, 18, 17,  6
 13,  7,  8, 19
 14, 19, 18,  7
 15,  8,  9, 20
 16, 20, 19,  8
 17,  9, 10, 21
 18, 21, 20,  9
 19, 10, 11, 22
 20, 22, 21, 10
 21, 12, 13, 24
 22, 24, 23, 12
 23, 13, 14, 25
 24, 25, 24, 13
 25, 14, 15, 26
 26, 26, 25, 14
 27, 15, 16, 27
 28, 27, 26, 15
 29, 16, 17, 28
 30, 28, 27, 16
 31, 17, 18, 29
 32, 29, 28, 17
 33, 18, 19, 30
 34, 30, 29, 18
 35, 19, 20, 31
 36, 31, 30, 19
 37, 20, 21, 32
 38, 32, 31, 20
 39, 21, 22, 33
 40, 33, 32, 21
 41, 23, 24, 35
 42, 35, 34, 23
 43, 24, 25, 36
 44, 36, 35, 24
 45, 25, 26, 37
 46, 37, 36, 25
 47, 26, 27, 38
 48, 38, 37, 26
 49, 27, 28, 39
 50, 39, 38, 27
 51, 28, 29, 40
 52, 40, 39, 28
 53, 29, 30, 41
 54, 41, 40, 29
 55, 30, 31, 42
 56, 42, 41, 30
 57, 31, 32, 43
 58, 43, 42, 31
 59, 32, 33, 44
 60, 44, 43, 32
 61, 34, 35, 46
 62, 46, 45, 34
 63, 35, 36, 47
 64, 47, 46, 35
 65, 36, 37, 48
 66, 48, 47, 36
 67, 37, 38, 49
 68, 49, 48, 37
 69, 38, 39, 50
 70, 50, 49, 38
 71, 39, 40, 51
 72, 51, 50, 39
 73, 40, 41, 52
 74, 52, 51, 40
 75, 41, 42, 53
 76, 53, 52, 41
 77, 42, 43, 54
 78, 54, 53, 42
 79, 43, 44, 55
 80, 55, 54, 43
 81, 45, 46, 57
 82, 57, 56, 45
 83, 46, 47, 58
 84, 58, 57, 46
 85, 47, 48, 59
 86, 59, 58, 47
 87, 48, 49, 60
 88, 60, 59, 48
 89, 49, 50, 61
 90, 61, 60, 49
 91, 50, 51, 62
 92, 62, 61, 50
 93, 51, 52, 63
 94, 63, 62, 51
 95, 52, 53, 64
 96, 64, 63, 52
 97, 53, 54, 65
 98, 65, 64, 53
 99, 54, 55, 66
100, 66, 65, 54
